Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S147687206,Common Ostrich,Struthio camelus,2,1,TZ-01,,L26670766,Lake Manyara,-3.4204232,35.8534986,2015-10-07,10:00 AM,eBird - Casual Observation,,0,,,1,,,Incidental list from the day,605198811
S147661058,Common Ostrich,Struthio camelus,2,1,TZ-01,,L951508,Ngorongoro Conservation Area--Ngorongoro Crater,-3.1734251,35.5641174,2015-10-06,01:10 PM,eBird - Casual Observation,,0,,,1,,,Incidental list from the day,605094041
S147623468,Common Ostrich,Struthio camelus,2,13,TZ-26,,L1044008,Tarangire NP,-4.002641,35.9783363,2015-10-05,10:00 AM,eBird - Casual Observation,,0,,,1,,,Incidental list from whole day,604904111
S153258391,Snow Goose,Anser caerulescens,257,X,US-VT,Addison,L788246,Dead Creek WMA IBA--Goose Viewing Area,44.0852885,-73.336798,2023-10-28,01:27 PM,eBird - Stationary Count,6,1,,,2,,300-400,"Overcast, low 60sF"
S154766818,Snow Goose,Anser caerulescens,257,X,US-NJ,Atlantic,L598883,Edwin B. Forsythe NWR--East Pool,39.4531611,-74.4145203,2023-11-19,10:10 AM,eBird - Traveling Count,51,1,.354,,1,,Around 200,"Sunny, mid 40s"
S123766187,Snow Goose,Anser caerulescens,257,X,CA-QC,La Côte-de-Beaupré,L21764283,Cap Tourment,47.051467,-70.804622,2022-10-16,,eBird - Casual Observation,,0,,,1
S172297621,Graylag Goose (Domestic type),Anser anser (Domestic type),267,2,PT-20,Ponta Delgada,L973573,Lagoa Azul,37.8604888,-25.7848263,2024-05-05,06:00 PM,eBird - Stationary Count,11,1,,,1,,,"20C, fast moving clouds"
S166274213,Greater White-fronted Goose,Anser albifrons,276,1,US-IL,Cook,L294426,"Northerly Island, Chicago",41.8596139,-87.6085684,2024-03-28,01:53 PM,eBird - Traveling Count,95,1,2.742,,1,,Continuing. Feeding with Canada goose along 12th St beach,"47F, mostly sunny",616751597
S166674056,Greater White-fronted Goose,Anser albifrons,276,1,US-IL,Cook,L294426,"Northerly Island, Chicago",41.8596139,-87.6085684,2024-03-31,11:00 AM,eBird - Traveling Count,90,1,2.414,,1,,"Continuing, at the roped off lawn association with 2 Canada geese. An off leash dog chased this goose along with many Canadas in the area, where they flew south past beyond Northerly Island. 15 minutes later, I observed it return along with 2 Canada geese to Lake Michigan water off the coast of the sanctuary.","Low 40s F, mostly cloudy"
S132831176,Brant,Branta bernicla,302,5,US-NJ,Bergen,L23415055,"13-40 Comerford Pl, Fair Lawn US-NJ (40.9425,-74.1027)",40.942508,-74.102737,2023-04-06,07:04 AM,eBird - Traveling Count,5,1,.165,,1,,"Flyover, pairs of 2 and a single close behind. Black neck and head with a white collar"
S153712178,Brant,Branta bernicla,302,39,US-VT,Chittenden,L165354,Shelburne Bay,44.4029098,-73.2323716,2023-11-04,10:21 AM,eBird - Stationary Count,15,1,,,1,,Flock came from the north and landed near shore,"50F, overcast. Using 8x zoom binoculars"
S122926121,Brant,Branta bernicla,302,1,US-NJ,Hunterdon,L21619044,"Delaware Canal State Park, Lambertville US-NJ (40.3647,-74.9456)",40.364732,-74.945576,2022-11-23,04:00 PM,eBird - Traveling Count,10,1,.402,,3,,"Quickly and silently wading in the D&R canal through a large raft of 50+ mallards, which were feeding in place. Very identifiable due to its branta genus appearance, black head and neck, and mottled white/ black area on the front of its neck.","Walking along the D&R canal trail, observing a large raft of 50+ mallards feeding in the water, a single brant traveling through the mallard raft, and unidentified sparrows gathering food to cache in the brushes alongside the canal. Also observed a muskrat swimming in proximity to the mallards."
S195413385,Cackling Goose,Branta hutchinsii,319,1,US-VT,Chittenden,L22532744,"Neighborhood (Including areas of Proctor Ave, Rice HS, Hadley Rd, Joy Dr, Farrell St, and inbetween locations))",44.4520007,-73.2034663,2024-09-16,07:13 PM,eBird - Casual Observation,,0,,,1,F Flyover,"So happy I decided to go on a walk. While walking, I decided to pause and observe the large rising moon. At the same time, a flock of 16 geese appeared due east of me, heading towards Lake Champlain like all of the other flocks. It was 7:34 PM. I immediately noticed that in the second-to-last position of this flock’s left arm of the V was a goose of diminutive size and a noticeably faster wing beat. The overall cadence of the bird’s wings seemed like that of a large duck. Over the next 10-15 seconds as it approached, I got a better sense that its overall size was a bit larger than a mallard and that both the body size and wingspan were smaller than the Canada Geese. Hard to say how much faster its wingbeats were compared to the Canadas, but I would estimate 30% faster. As the goose approached to fly directly over me, it had a noticeably shorter neck and smaller head than the Canadas. The flock’s distance from the ground at this point was about 100ft - even with the tallest white pine trees near the flock. Very similar plumage pattern to Canadas. That said, due to the extremely bright moonlight rising while there was still enough dusk light to effectively see, I saw more white moonlight reflect off of the Canada Geese breast than that of the Cackling Goose, suggesting that the Cackling had a darker breast than the Canada Geese. As it continued on, it fell back to the last position in the V. This was the last flock that I observed this evening. The flight trajectory of this flock at the time of flyover suggested that it was heading towards the area of Red Rocks beach in Shelburne Bay. Amazing chance.","Decided to go on a walk after dinner because I heard so many flyover Canada Geese. Started 7:13, ended 7:45. Last flyover was 7:34 which included the Cackling Goose. 71F, clear skies, evening dusk with large, bright rising moon."
